expenses,June,July,August,September,October,November,December,January,February,March,April,May,costs
Ажиллагчдын цалингийн зардал-БМ,4834712.0,3336600.5,10782541.09,30151261.21,33792125.34,32405729.99,32870968.56,37331079.09,32554415.28,36372894.91,39627334.0,42051562.83,336111224.79
Дугулангийн багшийн цалин-шатар,0.0,0.0,0.0,0.0,1080000.0,840000.0,1380000.0,1800000.0,1230000.0,1200000.0,960000.0,1080000.0,9570000.0
Зөвлөх үйлчилгээ,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,5500000.0,5500000.0,16500000.0
Амралтын олговор,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46312856.19,46312856.19
ААН-ээс төлсөн НДШЗардал-БМ,604339.0,417075.06,1347817.64,3768907.65,4224015.67,4050716.25,4108871.07,4666384.89,4069301.91,4546611.86,5640916.75,11733052.38,49178010.12
Хураамжийн зардал /хог/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,75000.0,75000.0,75000.0,75000.0,375000.0
Түрээсийн зардал /цэцэрлэг/,12175000.0,6087500.0,6087500.0,12175000.0,12175000.0,12175000.0,12175000.0,12175000.0,12175000.0,17045000.0,17045000.0,17045000.0,148535000.0
Түрээсийн зардал /оффис/,880000.0,880000.0,1760000.0,1760000.0,1760000.0,1760000.0,160000.0,0.0,0.0,0.0,0.0,0.0,8960000.0
Машин засвар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103000.0,97000.0,1200000.0
Шуудан холбооны зардал,487309.13,326032.97,469779.61,528945.01,534211.01,472531.01,544735.0,530041.72,525461.52,558792.92,885059.51,805765.68,6668665.09
Шатахууны зардал,158000.0,40000.0,101500.0,329500.0,577774.0,349700.0,899723.0,760273.0,599952.0,732636.0,743765.0,1036306.0,6329129.0
"Байгууллагын Пи ар ,олон нийттэй харилцах зардал",0.0,0.0,0.0,0.0,0.0,0.0,840000.0,0.0,80000.0,0.0,0.0,0.0,920000.0
Урсгал засвар үйлчилгээний зардал,15000.0,450000.0,125000.0,472993.0,1103600.0,386930.0,41910.0,402200.0,32450.0,362150.0,370500.0,171900.0,3934633.0
Ашиглалтын зардал-Цахилгаан,939734.78,644088.0,232722.01,623890.62,824971.0,747960.55,997702.19,1009018.0,698912.35,897549.05,706488.58,420278.31,8743315.44
Ашиглалтын зардал-Ус дулаан,0.0,0.0,0.0,770005.75,1393682.51,1156294.43,1453629.38,1443518.38,1582606.18,1685870.88,1677401.68,1614513.64,12777522.83
Ашиглалтын зардал-СӨХ,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,5400000.0
Ашиглалтын зардал-СӨХ /оффис/,304233.0,291335.0,294173.0,306474.0,362199.0,332382.0,368950.0,0.0,0.0,0.0,0.0,0.0,2259746.0
Банкны үйлчилгээний зардал,7700.0,6100.0,9000.0,13100.0,48200.0,10000.0,11500.0,9200.0,7200.0,8600.0,9000.0,8600.0,148200.0
Харуул хамгаалалтын зардал,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,1800000.0
ХЧТАТэтгэмжийн зардал,68810.0,0.0,0.0,0.0,0.0,298164.0,0.0,0.0,0.0,133192.0,0.0,244004.0,744170.0
"Ажлын байрны цэвэрлэгээ, үйлчилгээний зардал",0.0,0.0,0.0,600000.0,0.0,0.0,321000.0,0.0,731600.0,0.0,0.0,220000.0,1872600.0
БМонгол ХМЗ-ахуй,0.0,0.0,1161155.0,1809848.0,2806835.0,1725832.0,1581459.0,2105185.0,1495407.0,2476803.0,1628832.0,2101511.0,18892867.0
БМонгол ХМЗ-хүнс,0.0,51320.0,193615.0,14712613.57,16341120.3,11956703.17,14474478.17,15166061.27,12254911.77,14379113.93,14366685.89,17301566.93,131198190.0
БМонгол ХМЗ-ажилчдын хувцас,0.0,0.0,0.0,167311.11,167311.11,167311.11,167311.11,167311.11,167311.11,167311.11,167311.11,167311.11,1505800.0
БМонгол ХМЗ-бусад,42250.0,0.0,251029.0,175814.0,105610.0,102580.0,111530.0,408254.0,172640.0,222140.0,360352.0,430421.0,2382620.0
"БМонгол-ХМЗ-цүнх, дүрэмт хувцас",0.0,0.0,0.0,762777.0,762777.0,762777.0,762777.0,762777.0,762777.0,762777.0,762777.0,762784.0,6865000.0
БМонгол-ХМЗ-Сургалтын хэрэглэгдэхүүн,0.0,0.0,0.0,1337222.0,1337222.0,1337222.0,1337222.0,1337222.0,1337222.0,1337222.0,1337222.0,1337224.0,12035000.0
"БМонгол-ХМЗ-тоглолт, арга хэмжээ",0.0,0.0,62000.0,170900.0,393010.0,69000.0,1022700.0,0.0,253100.0,58300.0,676400.0,8464740.0,11170150.0
БМонгол Засварын зардал,1268900.0,0.0,0.0,0.0,7092400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8361300.0
Бичиг хэргийн зардал,0.0,82500.0,479066.0,923000.0,476400.0,885580.0,1055119.0,380000.0,225200.0,398080.0,306000.0,537500.0,5748445.0
"Мэргэжлийн үйлчилгээний зардал /тех карт, хууль зүйн зөвлөгөө, про лиценз, вэб хөгжүүлэлт/",1500000.0,0.0,0.0,60000.0,0.0,5150000.0,0.0,0.0,3300000.0,1390950.0,0.0,0.0,11400950.0
"Ажилчдад олгосон шагнал урамшуулал,байр орон сууцны хөлс болон унаа ,хоол ,",0.0,0.0,0.0,0.0,111111.0,0.0,666666.66,0.0,0.0,0.0,0.0,1666666.67,2444444.33
"Хандив, тусламжийн зардал",0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1100000.0
Сургалтын зардал,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0
Уулзалт хүлээн авалтын зардал,0.0,0.0,17900.0,0.0,12000.0,0.0,124960.0,0.0,56130.0,125000.0,89780.0,23300.0,449070.0
"Баяр ёслолын арга хэмжээ, бэлэг /ажилчдын/",90700.0,0.0,1923350.0,1016500.0,4469000.0,840270.0,6722502.0,80480.0,3516237.44,2386772.0,538730.0,5948570.0,27533111.44
Спорт эрүүл мэнд,0.0,0.0,460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0
